Worries	B	Worries	http://dbpedia.org/resource/Worry	
over				
Internet	B	Internet_privacy	http://dbpedia.org/resource/Internet_privacy	Internet
privacy	I	Internet_privacy	http://dbpedia.org/resource/Internet_privacy	
have				
spurred				
lawsuits	B	lawsuits	http://dbpedia.org/resource/Lawsuit	
,				
conspiracy	B	conspiracy_theories	http://dbpedia.org/resource/Conspiracy_theory	
theories	I	conspiracy_theories	http://dbpedia.org/resource/Conspiracy_theory	
and				
consumer	B	consumer	http://dbpedia.org/resource/Consumer	
anxiety	B	anxiety	http://dbpedia.org/resource/Anxiety	
as				
marketers	B	marketers	http://dbpedia.org/resource/Marketing	
and				
others				
invent				
new				
ways				
to				
track				
computer	B	computer_users	http://dbpedia.org/resource/User_(computing)	
users	I	computer_users	http://dbpedia.org/resource/User_(computing)	
on				
the				
Internet	B	Internet	http://dbpedia.org/resource/Internet	Internet
.				
				
But				
the				
alarmists	B	alarmists	http://dbpedia.org/resource/Alarmism	
have				
not				
seen				
anything				
yet				
.				
				
In				
the				
next				
few				
years	B	years	http://dbpedia.org/resource/Year	
,				
a				
powerful				
new				
suite				
of				
capabilities				
will				
become				
available				
to				
Web	B	Web_developers	http://dbpedia.org/resource/Web_developer	
developers	I	Web_developers	http://dbpedia.org/resource/Web_developer	
that				
could				
give				
marketers	B	marketers	http://dbpedia.org/resource/Marketing	
and				
advertisers	B	advertisers	http://dbpedia.org/resource/Advertising	
access				
to				
many				
more				
details				
about				
computer	B	computer_users	http://dbpedia.org/resource/User_(computing)	
users	I	computer_users	http://dbpedia.org/resource/User_(computing)	
’				
online	B	online	http://dbpedia.org/resource/Online_and_offline	
activities				
.				
				
Nearly				
everyone				
who				
uses				
the				
Internet	B	Internet	http://dbpedia.org/resource/Internet	Internet
will				
face				
the				
privacy	B	privacy	http://dbpedia.org/resource/Information_privacy	
risks				
that				
come				
with				
those				
capabilities				
,				
which				
are				
an				
integral				
part				
of				
the				
Web				
language				
that				
will				
soon				
power				
the				
Internet	B	Internet	http://dbpedia.org/resource/Internet	
:				
HTML	B	HTML_5	http://dbpedia.org/resource/HTML5	
5	I	HTML_5	http://dbpedia.org/resource/HTML5	
.				
				
The				
new				
Web	B	Web	http://dbpedia.org/resource/World_Wide_Web	
code	B	code	http://dbpedia.org/resource/Source_code	
,				
the				
fifth				
version				
of				
Hypertext	B	Hypertext_Markup_Language	http://dbpedia.org/resource/HTML	HTML
Markup	I	Hypertext_Markup_Language	http://dbpedia.org/resource/HTML	HTML
Language	I	Hypertext_Markup_Language	http://dbpedia.org/resource/HTML	HTML
used				
to				
create				
Web	B	Web_pages	http://dbpedia.org/resource/Web_page	World_Wide_Web
pages	I	Web_pages	http://dbpedia.org/resource/Web_page	
,				
is				
already				
in				
limited				
use				
,				
and				
it				
promises	B	promises	http://dbpedia.org/resource/Promise	
to				
usher				
in				
a				
new				
era	B	era	http://dbpedia.org/resource/Era	
of				
Internet	B	Internet_browsing	http://dbpedia.org/resource/Web_browser	Internet
browsing	I	Internet_browsing	http://dbpedia.org/resource/Web_browser	
within				
the				
next				
few				
years	B	years	http://dbpedia.org/resource/Year	
.				
				
It				
will				
make				
it				
easier				
for				
users	B	users	http://dbpedia.org/resource/User_(computing)	
to				
view				
multimedia	B	multimedia	http://dbpedia.org/resource/Multimedia	
content	B	content	http://dbpedia.org/resource/Content_(media)	
without				
downloading	B	downloading	http://dbpedia.org/resource/Uploading_and_downloading	
extra				
software	B	software	http://dbpedia.org/resource/Computer_software	
;				
check				
e	B	e-mail	http://dbpedia.org/resource/Email	
-	I	e-mail	http://dbpedia.org/resource/Email	
mail	I	e-mail	http://dbpedia.org/resource/Email	
offline	B	offline	http://dbpedia.org/resource/Online_and_offline	
;				
or				
find				
a				
favorite				
restaurant	B	restaurant	http://dbpedia.org/resource/Restaurant	
or				
shop				
on				
a				
smartphone	B	smartphone	http://dbpedia.org/resource/Smartphone	
.				
				
The				
Nets	B	Nets	http://dbpedia.org/resource/New_Jersey_Nets	Brooklyn_Nets
dropped				
into				
Moscow	B	Moscow	http://dbpedia.org/resource/Moscow	Moscow
on				
Sunday	B	Sunday	http://dbpedia.org/resource/Sunday	
for				
a				
one				
-				
day				
visit				
meant				
to				
raise				
their				
profile				
in				
the				
home	B	home	http://dbpedia.org/resource/Home	
country	B	country	http://dbpedia.org/resource/Country	
of				
their				
new				
owner	B	owner	http://dbpedia.org/resource/Ownership	
,				
the				
Russian				Russia
billionaire	B	billionaire	http://dbpedia.org/resource/Billionaire	
Mikhail	B	Mikhail_D._Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	
D	I	Mikhail_D._Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	
.	I	Mikhail_D._Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	
Prokhorov	I	Mikhail_D._Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	Mikhail_Prokhorov
.				
				
“				
Welcome				
to				
Russia	B	Russia	http://dbpedia.org/resource/Russia	Russia
,				
”				
Prokhorov	B	Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	Alexander_Prokhorov
said				
as				
he				
greeted	B	greeted	http://dbpedia.org/resource/Greeting	
his				
players	B	players	http://dbpedia.org/resource/Sportsperson	
during				
their				
first				
trip				
to				
a				
country	B	country	http://dbpedia.org/resource/Country	
he				
hopes				
will				
become				
a				
kind				
of				
second				
home	B	home	http://dbpedia.org/resource/Home	
for				
the				
team	B	team	http://dbpedia.org/resource/Team	
—				
as				
well				
as				
a				
source				
of				
wealthy	B	wealthy	http://dbpedia.org/resource/Wealth	
sponsors	B	sponsors	http://dbpedia.org/resource/Sponsor_(commercial)	
.				
				
The				
stay				
was				
just				
long				
enough				
for				
a				
little				
practice	B	practice	http://dbpedia.org/resource/Practice_(learning_method)	
and				
an				
exhibition	B	exhibition	http://dbpedia.org/resource/Exhibition_game	
in				
which				
the				
Nets	B	Nets	http://dbpedia.org/resource/New_Jersey_Nets	Brooklyn_Nets
were				
interspersed				
on				
the				
court	B	court	http://dbpedia.org/resource/Basketball_court	
with				
top				
players	B	players	http://dbpedia.org/resource/Sportsperson	
from				
youth				
leagues				
across				
Russia	B	Russia	http://dbpedia.org/resource/Russia	Russia
—				
some				
as				
young				
as				
8				
years	B	years	http://dbpedia.org/resource/Year	
old				
—				
for				
a				
light				
-				
hearted				
game	B	game	http://dbpedia.org/resource/Game	
in				
the				
arena	B	arena_of_CSKA_Moscow	http://dbpedia.org/resource/CSKA_Universal_Sports_Hall	
of	I	arena_of_CSKA_Moscow	http://dbpedia.org/resource/CSKA_Universal_Sports_Hall	
CSKA	I	arena_of_CSKA_Moscow	http://dbpedia.org/resource/CSKA_Universal_Sports_Hall	
Moscow	I	arena_of_CSKA_Moscow	http://dbpedia.org/resource/CSKA_Universal_Sports_Hall	
,				
the				
professional				
Russian				
club	B	club	http://dbpedia.org/resource/Sports_club	
Prokhorov	B	Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	
once				
owned				
.				
				
Prokhorov	B	Prokhorov	http://dbpedia.org/resource/Mikhail_Prokhorov	Mikhail_Prokhorov
said				
the				
visit				
would				
serve				
as				
a				
cornerstone				
for				
future	B	future	http://dbpedia.org/resource/Future	
interaction	B	interaction	http://dbpedia.org/resource/Interaction	
between				
players	B	players	http://dbpedia.org/resource/Sportsperson	
and				
coaches	B	coaches	http://dbpedia.org/resource/Coach_(sport)	
from				
the				
Nets	B	Nets	http://dbpedia.org/resource/New_Jersey_Nets	Brooklyn_Nets
and				
young				
Russians	B	Russians	http://dbpedia.org/resource/Russians	Russia
,				
with				
the				
aim				
of				
developing				
basketball	B	basketball	http://dbpedia.org/resource/Basketball	
in				
Russia	B	Russia	http://dbpedia.org/resource/Russia	Russia
,				
where				
the				
sport	B	sport	http://dbpedia.org/resource/Sport	
is				
a				
distant				
third				
in				
popularity	B	popularity	http://dbpedia.org/resource/Popularity	
behind				
soccer	B	soccer	http://dbpedia.org/resource/Association_football	
and				
hockey	B	hockey	http://dbpedia.org/resource/Hockey	
.				
				
If				
the				
Nets	B	Nets	http://dbpedia.org/resource/New_Jersey_Nets	Brooklyn_Nets
pick				
up				
a				
strong				
Russian				Russia
fan	B	fan	http://dbpedia.org/resource/Fan_(person)	
base				
in				
the				
process				
,				
that				
would				
be				
nice				
,				
too				
,				
he				
said				
.				
				
To				
the				
rites	B	rites	http://dbpedia.org/resource/Ritual	
of				
middle	B	middle-age	http://dbpedia.org/resource/Middle_age	
-	I	middle-age	http://dbpedia.org/resource/Middle_age	
age	I	middle-age	http://dbpedia.org/resource/Middle_age	
passage				
,				
some				
families	B	families	http://dbpedia.org/resource/Family	
are				
adding				
another				
:				
buying				
marijuana	B	marijuana	http://dbpedia.org/resource/Cannabis_(drug)	
for				
aging				
parents	B	parents	http://dbpedia.org/resource/Parent	
.				
				
Bryan				Bryan,_Texas
,				
46				
,				
a				
writer	B	writer	http://dbpedia.org/resource/Writer	
who				
lives				
in				
Illinois	B	Illinois	http://dbpedia.org/resource/Illinois	Illinois
,				
began				
supplying	B	supplying	http://dbpedia.org/resource/Illegal_drug_trade	
his				
parents	B	parents	http://dbpedia.org/resource/Parent	
about				
five				
years	B	years	http://dbpedia.org/resource/Year	
ago				
,				
after				
he				
told				
them				
about				
his				
own				
marijuana	B	marijuana	http://dbpedia.org/resource/Cannabis_(drug)	
use				
.				
				
When				
he				
was				
growing				
up				
,				
he				
said				
,				
his				
parents	B	parents	http://dbpedia.org/resource/Parent	
were				
very				
strict				
about				
illegal	B	illegal_drugs	http://dbpedia.org/resource/Illegal_drug_trade	
drugs	I	illegal_drugs	http://dbpedia.org/resource/Illegal_drug_trade	
.				
				
“				
We				
would				
have				
grounded	B	grounded	http://dbpedia.org/resource/Grounding_(punishment)	
him				
,				
”				
said				
his				
mother	B	mother	http://dbpedia.org/resource/Mother	
,				
who				
is				
72				
.				
				
But				
with				
age				
and				
the				
growing				
acceptance				
of				
medical	B	medical_marijuana	http://dbpedia.org/resource/Medical_cannabis	
marijuana	I	medical_marijuana	http://dbpedia.org/resource/Medical_cannabis	
,				
his				
parents	B	parents	http://dbpedia.org/resource/Parent	
were				
curious				
.				
				
His				
father	B	father	http://dbpedia.org/resource/Father	
had				
a				
heart	B	heart_ailment	http://dbpedia.org/resource/Heart_disease	
ailment	I	heart_ailment	http://dbpedia.org/resource/Heart_disease	
,				
his				
mother	B	mother	http://dbpedia.org/resource/Mother	
had				
dizzy	B	dizzy_spells	http://dbpedia.org/resource/Orthostatic_hypotension	
spells	I	dizzy_spells	http://dbpedia.org/resource/Orthostatic_hypotension	
and				
nausea	B	nausea	http://dbpedia.org/resource/Nausea	
,				
and				
both				
were				
worried				
about				
Alzheimer	B	Alzheimer’s_disease	http://dbpedia.org/resource/Alzheimer's_disease	
’	I	Alzheimer’s_disease	http://dbpedia.org/resource/Alzheimer's_disease	
s	I	Alzheimer’s_disease	http://dbpedia.org/resource/Alzheimer's_disease	
disease	I	Alzheimer’s_disease	http://dbpedia.org/resource/Alzheimer's_disease	
and				
cancer	B	cancer	http://dbpedia.org/resource/Cancer	
.				
				
They				
looked				
at				
some				
research	B	research	http://dbpedia.org/resource/Research	
and				
decided				
marijuana	B	marijuana	http://dbpedia.org/resource/Medical_cannabis	
was				
worth				
a				
try				
.				
				
Anyone				
driving	B	driving	http://dbpedia.org/resource/Driving	
the				
twists				
of				
Highway	B	Highway_1	http://dbpedia.org/resource/California_State_Route_1	California_State_Route_1
1	I	Highway_1	http://dbpedia.org/resource/California_State_Route_1	California_State_Route_1
between				
San	B	San_Francisco	http://dbpedia.org/resource/San_Francisco	San_Francisco
Francisco	I	San_Francisco	http://dbpedia.org/resource/San_Francisco	San_Francisco
and				
Los	B	Los_Angeles	http://dbpedia.org/resource/Los_Angeles	Los_Angeles
Angeles	I	Los_Angeles	http://dbpedia.org/resource/Los_Angeles	Los_Angeles
recently				
may				
have				
glimpsed				
a				
Toyota	B	Toyota_Prius	http://dbpedia.org/resource/Toyota_Prius	Toyota_Prius
Prius	I	Toyota_Prius	http://dbpedia.org/resource/Toyota_Prius	Toyota_Prius
with				
a				
curious				
funnel				
-				
like				
cylinder				
on				
the				
roof	B	roof	http://dbpedia.org/resource/Roof	
.				
				
Harder				
to				
notice				
was				
that				
the				
person	B	person	http://dbpedia.org/resource/Person	
at				
the				
wheel	B	wheel	http://dbpedia.org/resource/Steering_wheel	
was				
not				
actually				
driving	B	driving	http://dbpedia.org/resource/Driving	
.				
				
The				
car	B	car	http://dbpedia.org/resource/Automobile	
is				
a				
project	B	project	http://dbpedia.org/resource/Project	
of				
Google	B	Google	http://dbpedia.org/resource/Google	Google
,				
which				
has				
been				
working				
in				
secret				
but				
in				
plain				
view				
on				
vehicles	B	vehicles_that_can_drive_themselves	http://dbpedia.org/resource/Driverless_car	
that	I	vehicles_that_can_drive_themselves	http://dbpedia.org/resource/Driverless_car	
can	I	vehicles_that_can_drive_themselves	http://dbpedia.org/resource/Driverless_car	
drive	I	vehicles_that_can_drive_themselves	http://dbpedia.org/resource/Driverless_car	
themselves	I	vehicles_that_can_drive_themselves	http://dbpedia.org/resource/Driverless_car	
,				
using				
artificial	B	artificial-intelligence	http://dbpedia.org/resource/Artificial_intelligence	
-	I	artificial-intelligence	http://dbpedia.org/resource/Artificial_intelligence	
intelligence	I	artificial-intelligence	http://dbpedia.org/resource/Artificial_intelligence	
software	B	software	http://dbpedia.org/resource/Computer_software	
that				
can				
sense				
anything				
near				
the				
car	B	car	http://dbpedia.org/resource/Automobile	
and				
mimic				
the				
decisions				
made				
by				
a				
human	B	human	http://dbpedia.org/resource/Human	
driver				
.				
				
With				
someone				
behind				
the				
wheel	B	wheel	http://dbpedia.org/resource/Steering_wheel	
to				
take				
control				
if				
something				
goes				
awry				
and				
a				
technician	B	technician	http://dbpedia.org/resource/Technician	
in				
the				
passenger				
seat				
to				
monitor				
the				
navigation	B	navigation_system	http://dbpedia.org/resource/Navigation_system	
system	I	navigation_system	http://dbpedia.org/resource/Navigation_system	
,				
seven				
test				
cars	B	cars	http://dbpedia.org/resource/Automobile	
have				
driven				
1,000				
miles	B	miles	http://dbpedia.org/resource/Mile	
without				
human	B	human	http://dbpedia.org/resource/Human	
intervention				
and				
more				
than				
140,000				
miles	B	miles	http://dbpedia.org/resource/Mile	
with				
only				
occasional				
human	B	human	http://dbpedia.org/resource/Human	
control				
.				
				
One				
even				
drove				
itself				
down				
Lombard	B	Lombard_Street	http://dbpedia.org/resource/Lombard_Street_(San_Francisco)	Lombard_Street_(San_Francisco)
Street	I	Lombard_Street	http://dbpedia.org/resource/Lombard_Street_(San_Francisco)	Lombard_Street_(San_Francisco)
in				
San	B	San_Francisco	http://dbpedia.org/resource/San_Francisco	San_Francisco
Francisco	I	San_Francisco	http://dbpedia.org/resource/San_Francisco	San_Francisco
,				
one				
of				
the				
steepest				
and				
curviest				
streets	B	streets	http://dbpedia.org/resource/Street	
in				
the				
nation				
.				
				
The				
only				
accident	B	accident	http://dbpedia.org/resource/Accident	
,				
engineers	B	engineers	http://dbpedia.org/resource/Engineer	
said				
,				
was				
when				
one				
Google	B	Google_car	http://dbpedia.org/resource/Google_driverless_car	Google
car	I	Google_car	http://dbpedia.org/resource/Google_driverless_car	
was				
rear	B	rear-ended	http://dbpedia.org/resource/Rear-end_collision	
-	I	rear-ended	http://dbpedia.org/resource/Rear-end_collision	
ended	I	rear-ended	http://dbpedia.org/resource/Rear-end_collision	
while				
stopped				
at				
a				
traffic	B	traffic_light	http://dbpedia.org/resource/Traffic_light	
light	I	traffic_light	http://dbpedia.org/resource/Traffic_light	
.				
				
At				
a				
private				
dinner	B	dinner	http://dbpedia.org/resource/Dinner	
on				
Friday	B	Friday	http://dbpedia.org/resource/Friday	
at				
the				
Canadian	B	Canadian	http://dbpedia.org/resource/Canadian	Canada
Embassy	B	Embassy	http://dbpedia.org/resource/Diplomatic_mission	
,				
finance				
officials				
from				
seven				
world	B	world	http://dbpedia.org/resource/World	
economic	B	economic	http://dbpedia.org/resource/Economy	
powers				
focused				
on				
the				
most				
vexing				
international	B	international	http://dbpedia.org/resource/International	
economic	B	economic	http://dbpedia.org/resource/Economy	
problem	B	problem	http://dbpedia.org/resource/Problem	
facing				
the				
Obama	B	Obama_administration	http://dbpedia.org/resource/Presidency_of_Barack_Obama	Barack_Obama
administration	I	Obama_administration	http://dbpedia.org/resource/Presidency_of_Barack_Obama	
.				
				
Over				
seared				
scallops	B	scallops	http://dbpedia.org/resource/Scallop	
and				
beef	B	beef_tenderloin	http://dbpedia.org/resource/Beef_tenderloin	
tenderloin	I	beef_tenderloin	http://dbpedia.org/resource/Beef_tenderloin	
,				
Treasury	B	Treasury_Secretary	http://dbpedia.org/resource/United_States_Secretary_of_the_Treasury	United_States_Department_of_the_Treasury
Secretary	I	Treasury_Secretary	http://dbpedia.org/resource/United_States_Secretary_of_the_Treasury	
Timothy	B	Timothy_F._Geithner	http://dbpedia.org/resource/Timothy_Geithner	
F	I	Timothy_F._Geithner	http://dbpedia.org/resource/Timothy_Geithner	
.	I	Timothy_F._Geithner	http://dbpedia.org/resource/Timothy_Geithner	
Geithner	I	Timothy_F._Geithner	http://dbpedia.org/resource/Timothy_Geithner	Timothy_Geithner
urged				
his				
counterparts				
from				
Europe	B	Europe	http://dbpedia.org/resource/Europe	Europe
,				
Canada	B	Canada	http://dbpedia.org/resource/Canada	Canada
and				
Japan	B	Japan	http://dbpedia.org/resource/Japan	Japan
to				
help				
persuade				
China	B	China	http://dbpedia.org/resource/People's_Republic_of_China	China
to				
let				
its				
currency	B	currency	http://dbpedia.org/resource/Currency	
,				
the				
renminbi	B	renminbi	http://dbpedia.org/resource/Renminbi	
,				
rise				
in				
value				
—				
a				
crucial				
element				
in				
redressing				
the				
trade	B	trade_imbalances	http://dbpedia.org/resource/Balance_of_trade	
imbalances	I	trade_imbalances	http://dbpedia.org/resource/Balance_of_trade	
that				
are				
threatening				
recovery				
around				
the				
world	B	world	http://dbpedia.org/resource/World	
.				
				
But				
the				
next				
afternoon				
,				
the				
annual	B	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	
meetings	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	
of	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	
the	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	
International	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	International_Monetary_Fund
Monetary	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	International_Monetary_Fund
Fund	I	annual_meetings_of_the_International_Monetary_Fund	http://dbpedia.org/resource/Annual_Meetings_of_the_International_Monetary_Fund_and_the_World_Bank_Group	International_Monetary_Fund
ended				
with				
a				
tepid				
statement				
that				
made				
only				
fleeting				
and				
indirect				
references				
to				
the				
simmering				
currency	B	currency	http://dbpedia.org/resource/Currency	
tensions				
.				
				
Boilerplate				
is				
safe				
box	B	box_office	http://dbpedia.org/resource/Box_office	
office	I	box_office	http://dbpedia.org/resource/Box_office	
,				
and				
we				
’				
ve				
gotten				
our				
share				
lately				
.				
				
So				
it				
’				
s				
great				
that				
the				
Guggenheim	B	Guggenheim_Museum	http://dbpedia.org/resource/Solomon_R._Guggenheim_Museum	Solomon_R._Guggenheim_Museum
Museum	I	Guggenheim_Museum	http://dbpedia.org/resource/Solomon_R._Guggenheim_Museum	Solomon_R._Guggenheim_Museum
is				
giving				
us				
the				
opposite				
in				
its				
major				
